Article_id,credibility_withAll,credibility_withoutInline,credibility_withoutUser_Count,credibility__withoutDatabyte,credibility_withoutInline_withMeanTime,credibility__withoutDatabyte_withMeanTime
332,358993970355,358993959119,358993969626,11965,358993959847.2045,12693.2045455
333,14776341,14776337,14776340,5,14785791.0,9459.0
334,550499723632,550499717232,550499719276,10756,550499717612.9642,11136.9642857
336,125255745356803,125255745232899,125255745317202,163505,125255745232957.03,163563.03374778
337,64545190862854,64545190778173,64545190791565,155970,64545190778241.805,156038.80210526
337,64545190781654,64545190778173,64545190710365,74770,64545190778241.805,74838.80210526
339,9189418862709976,9189418862263752,9189418862270408,885793,9189418862263764.0,885804.97879342
340,9827665991,9827662966,9827663491,5525,9827663500.803278,6059.8032787
344,193098316984,193098309759,193098313620,10589,193098310140.38095,10970.3809524
348,559840650642,559840650626,559840650641,17,559840665279.0,14670.0
349,6738586106991,6738586091862,6738586102502,19618,6738586092193.429,19949.4285714
349,6738586091878,6738586091862,6738586087389,4505,6738586092193.429,4836.4285714
351,1275989846,1275989842,1275989845,5,1275997977.0,8140.0
358,4016847890156670,4016847889898606,4016847889843070,571664,4016847889898631.5,571689.67949725
358,4016847889898622,4016847889898606,4016847889585022,313616,4016847889898631.5,313641.67949725
359,6856422200739769,6856422200692680,6856422200727448,59410,6856422200692823.0,59552.6563877
368,46848781890322,46848781877778,46848781889233,13633,46848781878306.0,14161.0
369,3404274208130,3404274203089,3404274207601,5570,3404274203795.467,6276.4666667
568,1030339075969647,1030339075894022,1030339075869791,175481,1030339075894064.2,175523.19096774
569,2635105727151846,2635105727022965,2635105727005922,274805,2635105727022999.0,274839.11783107
570,1335878320464271,1335878320368171,1335878320264462,295909,1335878320368202.2,295940.3291866
571,27710264197,27710263297,27710264196,901,27710290597.0,28201.0
572,746005468445,746005459796,746005464089,13005,746005460090.3945,13299.3944954
573,5326168580594957,5326168580160676,5326168580209316,819922,5326168580160699.0,819944.87290503
574,124514618943184,124514618937855,124514618940583,7930,124514618938095.86,8170.8656716
575,9150795,9150626,9150794,170,9180730.0,30274.0
576,3344350114889017,3344350114638016,3344350114223161,916857,3344350114638032.5,916873.53873418
578,56189692257335,56189692200214,56189692173814,140642,56189692200270.1,140698.09777015
579,1530003991452,1530003987483,1530003890328,105093,1530003987542.4226,105152.42258652
580,842853502245,842853441729,842853480341,82420,842853441864.9706,82555.9705882
584,127368318070,127368316845,127368316306,2989,127368317197.03297,3341.032967
586,677037733272076,677037733190851,677037733130700,222601,677037733190891.5,222641.49255583
587,549781089331337,549781089326153,549781088866213,470308,549781089326172.06,470327.06934732
590,156344339159200,156344339154975,156344339134236,29189,156344339155112.4,29326.4092827
591,57289771,57289762,57289770,10,57301823.0,12071.0
592,1316601329,1316601229,1316601325,104,1316610683.0,9558.0
593,97017297638276,97017297583987,97017297394240,298325,97017297584013.72,298351.71673469
594,1309034013457803,1309034013212778,1309034013215739,487089,1309034013212805.0,487116.12271973
595,17194591990309518,17194591989529828,17194591990052468,1036738,1.7194591989529852e+16,1036762.90251333
596,12960065,12960001,12960064,65,12991445.0,31509.0
597,351263078291,351263065066,351263076175,15341,351263065385.97,15660.97
599,8515566127322,8515566118486,8515566112193,23965,8515566118607.615,24086.6156716
600,12043565235038,12043565200813,12043564983034,286229,12043565200850.273,286266.27314286
606,6571,6562,6570,10,12809.0,6257.0
612,730532960408,730532957704,730532952487,10625,730532957939.4492,10860.4492754
615,188537247689,188537246728,188537243968,4682,188537247050.52042,5004.5204082
616,910,909,901,10,7125.75,6226.75
617,5283919,5283903,5283723,212,5285438.631579,1747.631579
617,5363992,5283903,5363796,80285,5285438.631579,81820.631579
617,5310472,5283903,5310276,26765,5285438.631579,28300.631579
618,3141,3140,3137,5,8602.0,5467.0
618,23021,3140,23017,19885,8602.0,25347.0
620,815375174493698,815375174424529,815375174052802,510065,815375174424551.9,510087.88819008
621,6149346397315,6149346381939,6149346308511,104180,6149346382001.815,104242.81538462
623,22998771560,22998757399,22998771460,14261,22998759182.764706,16044.764706
623,22998789799,22998757399,22998789699,32500,22998759182.764706,34283.764706
624,100336200032145024,100336200031553664,100336200031219584,1516805,1.0033620003155368e+17,1516819.75990991
625,4082680559273,4082680511749,4082680550624,56173,4082680511922.037,56346.037037
627,483431234909077,483431234734353,483431234578452,505349,483431234734378.75,505374.72584446
628,108938393165407,108938393083611,108938393046382,200821,108938393083665.16,200875.15333333
629,588450824,588450568,588450820,260,588454265.0,3957.0
630,6668448037,6668443548,6668438037,14489,6668443792.757576,14733.7575758
632,5338202333322,5338202311121,5338202329226,26297,5338202311457.1875,26633.1875
633,563543354409054,563543354339358,563543354339358,139392,563543354339388.4,139422.40482823
634,2511379440805,2511379437324,2511379433916,10370,2511379437521.685,10567.6848485
639,1119107407491431,1119107407393462,1119107407453406,135994,1119107407393534.9,136066.91964286
640,885808997380872,885808997372036,885808997375096,14612,885808997372278.8,14854.7910448
642,20419814523,20419813898,20419810802,4346,20419814297.962963,4745.962963
643,302238632995,302238631626,302238632319,2045,302238632241.40424,2660.4042553
644,279843,279842,279842,2,301406.0,21566.0
645,1698584548,1698584323,1698584323,450,1698586197.0,2324.0
649,8222793800,8222793271,8222793175,1154,8222794085.435898,1968.4358974000002
650,138730623784,138730623208,138730623759,601,138730629060.6,6453.6
651,6591251455225,6591251446389,6591251438325,25736,6591251446554.634,25901.6340206
652,1868099187,1868098098,1868099151,1125,1868100443.9,3470.9
653,194450718164568,194450718160472,194450718158484,10180,194450718160651.0,10358.9889503
654,1121263,1121227,1121214,85,1125232.857143,4090.857143
655,33473565126380,33473565115355,33473565035779,101626,33473565115400.45,101671.44861111
655,33473565149211,33473565115355,33473565058610,124457,33473565115400.45,124502.44861111
655,33473565279380,33473565115355,33473565188779,254626,33473565115400.45,254671.44861111
656,56128796025922,56128795997361,56128795924798,129685,56128795997405.875,129729.87654321
657,18408083925370,18408083915766,18408083904634,30340,18408083915876.75,30450.7491525
658,980796822267,980796817226,980796817083,10225,980796817440.0066,10439.0065359
659,240905849158,240905848258,240905839749,10309,240905848487.922,10538.9219858
661,998219678862,998219676053,998219672621,9050,998219676275.1849,9272.1849315
662,581686652652653,581686652604692,581686652357804,342810,581686652604715.0,342832.96418539
663,2737295818586297,2737295818492048,2737295818543861,136685,2737295818492108.0,136744.76965265
664,42643778892910,42643778828901,42643778766885,190034,42643778828938.98,190071.98027842
665,4344332924003,4344332922239,4344332905234,20533,4344332922382.4956,20676.4955752
666,5182427114220,5182427107164,5182427079995,41281,5182427107266.363,41383.3636364
668,6222725515,6222725259,6222725154,617,6222726574.5,1932.5
669,82,82,81,1,21053.0,20972.0
670,168865628077309152,168865628077240512,168865628077092928,284869,1.6886562807724054e+17,284904.30528587
673,83940213595,83940212506,83940200370,14314,83940212674.31958,14482.3195876
674,820674748886505,820674748866056,820674748833605,73349,820674748866136.6,73429.56435644
675,33489931212,33489930683,33489929612,2129,33489931076.51282,2522.5128205
676,38650170411742,38650170356046,38650170386778,80660,38650170356140.695,80754.69855072
677,46517822095927,46517822069031,46517822084902,37921,46517822069199.195,38089.1958763
678,392526339350,392526336214,392526337141,5345,392526336635.20776,5766.2077922
679,89044242507,89044161282,89044239803,83929,89044161668.63095,84315.6309524
680,2057482580624,2057482572524,2057482518124,70600,2057482572597.0535,70673.05357143
681,252997324138,252997321638,252997316394,10244,252997321880.8496,10486.8496241
682,8599831671446,8599831668845,8599831654805,19242,8599831669002.149,19399.1497585
683,8233546895,8233543979,8233542799,7012,8233544358.686747,7391.686747
684,20589036,20588955,20588987,130,20592458.5,3633.5
684,20588964,20588955,20588915,58,20592458.5,3561.5
685,22432628834863,22432628577814,22432628826399,265513,22432628577979.938,265678.9390863
689,4616118502454080,4616118499540231,4616118501831559,3536370,4616118499540246.0,3536385.0857538
690,65096531515778,65096531495329,65096531377394,158833,65096531495375.02,158879.02394366
691,144457589903124,144457589839115,144457589773524,193609,144457589839148.38,193642.37410805
696,14244935649,14244931805,14244934128,5365,14244932361.145454,5921.1454545
697,145599609552799,145599609472143,145599609532350,101105,145599609472235.06,101197.06
697,145599609472627,145599609472143,145599609452178,20933,145599609472235.06,21025.06
698,98993163023124,98993162790800,98993162805968,449480,98993162790839.14,449519.1423445
699,680270777,680270728,680270773,53,680270766.5,91.5
700,1288041486878819,1288041486677218,1288041486784570,295850,1288041486677256.0,295888.00232558
701,3345331108701316,3345331108663291,3345331108509472,229869,3345331108663326.0,229904.24865447
703,18631641320007,18631641280007,18631641315782,44225,18631641280360.168,44578.1685393
704,648439470460,648439467211,648439469499,4210,648439467875.2174,4874.2173913
705,727323772962,727323771441,727323772062,2421,727323772104.4791,3084.4791667
706,10633483184777,10633483159813,10633483182928,26813,10633483160102.8,27102.8
707,583599176,583598551,583598852,949,583599247.0888889,1645.0888889
708,75281773952,75281770471,75281773223,4210,75281770937.48529,4676.4852941
709,5755878911,5755877542,5755877311,2969,5755878231.021276,3658.0212766
710,19170838837,19170837748,19170838476,1450,19170838775.75862,2477.758621
711,6225525286030,6225525265294,6225525278286,28480,6225525265543.859,28729.859375
712,41147374830087,41147374775798,41147374787238,97138,41147374775882.94,97222.93994778
713,59159650520786,59159650477105,59159650486190,78277,59159650477208.9,78380.9015873
715,41799803953,41799802509,41799803944,1453,41799809982.666664,8926.666667000001
715,42000251473,41799802509,42000251464,200448973,41799809982.666664,200456446.666667
717,1553781353664931,1553781353400735,1553781353445907,483220,1553781353400761.5,483246.40645161
718,219820129582,219820126666,219820117038,15460,219820126835.60846,15629.6084656
719,422855381688484,422855381632315,422855381628459,116194,422855381632368.4,116247.35236542
728,63529913272,63529836543,63529901172,88829,63529836684.35931,88970.3593074
728,63529838944,63529836543,63529826844,14501,63529836684.35931,14642.3593074
730,345459912317,345459903668,345459911833,9133,345459904553.34283,10018.3428571
734,189445873188,189445838963,189445862372,45041,189445839150.71677,45228.716763
734,189445840188,189445838963,189445829372,12041,189445839150.71677,12228.716763
735,686,685,677,10,4245.6666669999995,3570.666667
736,1024237549399124352,1024237549346995968,1024237549395779072,55473641,1.024237549346996e+18,55473645.43902439
737,5493156175055312,5493156174658412,5493156173994412,1457800,5493156174658419.0,1457807.239505082
738,822068908181793,822068907893424,822068907348224,1121938,822068907893435.2,1121949.20136752
740,115687498387145,115687498345120,115687497958120,471050,115687498345136.75,471066.74897751
741,1378396323318021,1378396323050732,1378396322380997,1204313,1378396323050746.0,1204327.05405405
742,3662186321,3662186257,3662186320,65,3662189144.0,2952.0
744,19443304799101584,19443304797161132,19443304798009556,3032474,1.944330479716114e+16,3032482.773701125
746,528907062565243,528907062306162,528907062180843,643481,528907062306176.94,643495.91560219
748,214941345756143,214941345724102,214941345745534,42650,214941345724217.94,42765.9430605
749,2019964658,2019963137,2019964657,1522,2019965690.0,4075.0
751,665552199886847,665552199815023,665552199799822,158849,665552199815045.9,158871.92992292
752,1264113079409554,1264113079290529,1264113078911118,617461,1264113079290546.5,617478.46556327
753,16381447341468,16381447319267,16381447208243,155426,16381447319317.605,155476.60526316
755,5764811,5764802,5764810,10,5777889.0,13097.0
759,2342560001,2342560001,2342560000,1,2342572276.0,12276.0
762,84934657,84934657,84934656,1,84935325.0,669.0
764,35874057365,35874054865,35874056789,3076,35874055418.490906,3629.4909091
765,59153067177118856,59153067176766016,59153067175895616,1576072,5.9153067176766024e+16,1576077.561534544
766,15769159695,15769159334,15769159470,586,15769160329.125,1581.125
768,109061646,109061597,109061117,578,109062741.5,1722.5
769,33863518116388,33863518073124,33863518047219,112433,33863518073191.59,112500.59043659
770,7111010085644564,7111010085463088,7111010084638555,1187485,7111010085463099.0,1187496.3026225
771,95327302897475264,95327302893672768,95327302896733936,4543821,9.532730289367278e+16,4543832.63765542
772,492284769388,492284766363,492284752747,19666,492284766489.55255,19792.5525292
772,492284766559,492284766363,492284749918,16837,492284766489.55255,16963.5525292
773,7139673636285836,7139673636201155,7139673636266792,103725,7139673636201216.0,103786.1011236
775,1309782377736629,1309782377662645,1309782377617604,193009,1309782377662676.0,193039.89990557
776,13332551201,13332551120,13332551192,90,13332554524.666668,3494.666667
777,52096308850,52096307250,52096306249,4201,52096307725.0597,4676.0597015
779,362203080,362187455,362203044,15661,362190916.777778,19122.777778
779,362187519,362187455,362187483,100,362190916.777778,3561.777778
780,398448156855,398448146855,398448140726,26129,398448147023.2371,26297.2371134
782,382795000237,382794997428,382794992841,10205,382794997708.36285,10485.3628319
783,14741660584585616,14741660584150016,14741660583025614,1995601,1.4741660584150024e+16,1995609.387864823
783,14741660584170464,14741660584150016,14741660582610464,1580450,1.4741660584150024e+16,1580458.387864823
784,6731335990374,6731335982978,6731335984290,13480,6731335983224.106,13726.1068702
784,6731335983554,6731335982978,6731335977470,6660,6731335983224.106,6906.1068702
785,15485549077588,15485549068939,15485549054179,32058,15485549069034.705,32153.70501475
786,84522734888,84522714439,84522732287,23050,84522714831.4875,23442.4875
787,19803053449,19803050848,19803051928,4122,19803051329.446156,4603.4461538
788,833742226,833740705,833740782,2965,833741401.8478261,3661.8478261
789,29508726011,29508723802,29508723986,4234,29508724260.771427,4692.7714286
791,684715560027185,684715559854129,684715559877416,322825,684715559854157.6,322853.59265734
794,56385352360,56385352260,56385352036,424,56385353873.833336,2037.833333
795,70916224369,70916224045,70916222925,1768,70916224724.39131,2447.3913043000002
798,1134506487434,1134506463718,1134506470793,40357,1134506463855.599,40494.5991561
799,4946579061664,4946579004064,4946579043975,75289,4946579004192.362,75417.3625498
800,1173933947678899,1173933947095203,1173933946605603,1656992,1173933947095212.5,1657001.458850708
801,1072635570,1072634994,1072634670,1476,1072635703.2325581,2185.2325581
802,436586147441816,436586147285791,436586147367832,230009,436586147285835.06,230053.03364738
803,272987200637177280,272987200590801184,272987200636814880,46738504,2.729872005908012e+17,46738525.890301
804,395255003,395254162,395255002,842,395275107.0,21787.0
806,2997206699500886,2997206699348786,2997206699254870,398116,2997206699348820.0,398149.88186529
808,4609167499024154,4609167498801370,4609167498688913,558025,4609167498801395.0,558049.52734082
809,5676566275569,5676566267825,5676566191469,91844,5676566267887.808,91906.80769231
813,230639102326,230639102002,230639102325,325,230639119691.0,18014.0
814,2495203092,2495202308,2495203088,788,2495207098.5,5578.5
815,238730944427,238730937202,238730944426,7226,238730964198.0,34222.0
816,1908030123,1908029762,1908030122,362,1908061941.0,32541.0
818,855036611,855036082,855036610,530,855067634.0,32082.0
819,479785541,479785217,479785540,325,479797485.0,12593.0
820,112550882,112550882,112550881,1,112564544.0,13663.0
821,2562283309,2562283165,2562283305,148,2562290849.0,7832.0
822,25600852684295812,25600852684023328,25600852684295732,272565,2.5600852684025616e+16,274852.307692
824,348822569648113,348822569614989,348822569631729,49508,348822569615112.2,49631.1780303
825,1327779001787,1327778997163,1327778996162,10249,1327778997497.8042,10583.8041237
826,12149330178,12149330177,12149330177,2,12149354404.0,24229.0
827,145865941777,145865941777,145865941776,1,145865963538.0,21762.0
828,4581175175432,4581175175428,4581175175428,8,4581175180919.5,5499.5
832,390635,390626,390634,10,423283.0,32667.0
835,157351946,157351937,157351945,10,157368228.0,16301.0
839,161,160,145,17,6565.5,6422.5
840,142310894954814,142310894930789,142310894935493,43346,142310894930877.28,43434.29459459
841,154104236686354880,154104236663429920,154104236686148736,23131060,1.5410423666342995e+17,23131092.63509472
842,593542900780,593542888236,593542880044,33280,593542888355.8169,33399.8168498
842,593542890837,593542888236,593542870101,23337,593542888355.8169,23456.8168498
843,108510894016604,108510894003379,108510893835128,194701,108510894003422.38,194744.37317397
844,521990905237860,521990905039835,521990904842219,593666,521990905039852.4,593683.35347112
846,14081328,14081292,14081292,72,14084925.375,3705.375
846,14084656,14081292,14084620,3400,14084925.375,7033.375
848,508615094389909,508615094317009,508615094298100,164709,508615094317062.44,164762.43882545
849,103576980001855,103576979941339,103576979895579,166792,103576979941384.55,166837.55431755
850,110443467934776,110443467862952,110443467820532,186068,110443467862989.53,186105.5315729
851,5181594509081,5181594499280,5181594438856,80026,5181594499359.948,80105.94865526
852,3204725215079325,3204725214938700,3204725214641081,578869,3204725214938713.5,578882.41540352
853,6706031363593,6706031355849,6706031354944,16393,6706031356015.615,16559.6153846
854,122509060685284,122509060657060,122509060637323,76185,122509060657137.86,76262.86602871
855,680903894,680903813,680901590,2385,680904291.2089552,2863.2089551999998
856,11828664483074230,11828664482344914,11828664481103014,2700532,1.1828664482344922e+16,2700540.073928043
857,166063613679402,166063613532713,166063613669201,156890,166063613532865.53,157042.5164319
858,65541,65537,65540,5,97964.0,32432.0
859,37527218927,37527217406,37527218527,1921,37527217819.11688,2334.1168831
860,28387693,28387593,28387684,109,28391430.25,3946.25
862,1547152855368613,1547152855246812,1547152855309077,181337,1547152855246867.0,181391.93109244
863,29722677937415760,29722677936957432,29722677936095560,1778530,2.972267793695744e+16,1778536.517810945
863,29722677936958800,29722677936957432,29722677935638600,1321570,2.972267793695744e+16,1321576.517810945
864,9523880936942934,9523880936743124,9523880936145484,997258,9523880936743138.0,997272.28646288
865,31300858858324,31300858827348,31300858849675,39625,31300858827533.17,39810.1704545
866,7519580801262,7519580787573,7519580781662,33289,7519580787704.833,33420.8326531
868,2597639073655,2597639068894,2597639069559,8857,2597639069206.635,9169.6346154
869,4421819981266,4421819978562,4421819975641,8329,4421819978884.476,8651.4752475
870,2855783141073,2855783130048,2855783138264,13834,2855783130300.69,14086.6899225
872,79590927526781,79590927453881,79590927472492,127189,79590927453954.9,127262.90249433
872,79590927454610,79590927453881,79590927400321,55018,79590927453954.9,55091.90249433
873,24010290,24010001,24010289,290,24015523.0,5812.0
874,26340758971015380,26340758970452880,26340758970472212,1105669,2.6340758970452896e+16,1105683.07735281
875,1656428904,1656428648,1656428504,656,1656429719.068966,1727.068966
876,44308496053145,44308496035721,44308496033264,37305,44308496035826.79,37410.7908497
877,924418625490,924418621769,924418616654,12557,924418621971.7391,12759.7391304
878,4706099954406,4706099927837,4706099942525,38450,4706099928009.941,38622.9414894
880,7796212610252176,7796212609899340,7796212609872720,732292,7796212609899358.0,732310.35016835
881,9658630619764,9658630618539,9658630618864,2125,9658630619326.625,2912.625
882,11789514003,11789513519,11789513474,1013,11789514236.928572,1730.9285714
883,175984332,175984188,175984107,369,175985804.0,1985.0
884,188050158314,188050156465,188050156105,4058,188050156910.22223,4503.2222222
885,28886836,28886640,28886640,392,28888127.611111,1879.611111
886,285238392458419,285238392348195,285238392325923,242720,285238392348242.75,242767.77745242
887,794868338485483,794868338434858,794868338434407,101701,794868338434923.6,101766.58551308
888,11237610613376,11237610568432,11237610603175,55145,11237610568590.393,55303.3932039
889,558958790047,558958774918,558958788022,17154,558958775398.803,17634.8030303
890,36639472847942,36639472802146,36639472758541,135197,36639472802207.664,135258.66101695
891,630,626,629,5,17140.0,16519.0
892,5189689403,5189687002,5189689079,2725,5189688071.08,3794.08
893,2093542506717364736,2093542506717189120,2093542506715569152,1971161,2.093542506717189e+18,1971166.369896704
894,57515188151851,57515188144626,57515187962626,196450,57515188144659.58,196483.5774359
895,82191887491467,82191887358242,82191887491431,133261,82191887359974.16,134993.153846
896,9993311460543,9993311442318,9993311372334,106434,9993311442369.13,106485.1314554
897,54291182572216,54291182523816,54291182474247,146369,54291182523864.805,146417.80625931
897,54291182523820,54291182523816,54291182425851,97973,54291182523864.805,98021.80625931
898,26809864193942,26809864174898,26809864155526,57460,26809864174988.566,57550.56666667
899,601547680344,601547668463,601547670143,22082,601547668688.9231,22307.9230769
899,601547688627,601547668463,601547678426,30365,601547668688.9231,30590.9230769
900,2714987615295,2714987599419,2714987597339,33832,2714987599566.419,33979.4189189
901,189030545299,189030535498,189030529423,25677,189030535650.9673,25829.9672897
902,642513290133777,642513289995393,642513289698177,573984,642513289995410.0,574001.04058273
902,642513289995793,642513289995393,642513289560193,436000,642513289995410.0,436017.04058273
903,566898196487,566898191587,566898191446,9941,566898191894.2452,10248.245283
904,1202393001727071,1202393001570255,1202393001227222,656665,1202393001570271.2,656681.31639263
905,715563684,715562900,715563284,1184,715564076.458333,2360.458333
906,6092615311999,6092615244918,6092615305110,73970,6092615245157.419,74209.4191176
909,152782752470836,152782752410320,152782752446811,84541,152782752410407.66,84628.66397849
910,1607889935,1607889871,1607889766,233,1607891705.625,2067.625
911,131258358141,131258313620,131258325017,77645,131258313724.44409,77749.4440895
912,14776401,14776337,14776400,65,14791653.0,15381.0
913,53140781994533,53140781949164,53140781809633,230269,53140781949203.78,230308.7800729
913,53140781951664,53140781949164,53140781766764,187400,53140781949203.78,187439.7800729
914,258439401078,258439396178,258439378277,27701,258439396314.78152,27837.7815126
915,234267729378,234267724478,234267724194,10084,234267724741.18033,10347.1803279
917,1335117310,1335116826,1335117274,520,1335119546.25,3240.25
918,303595858,303595777,303595857,82,303598772.0,3077.0
920,66494896454,66494895365,66494890213,7330,66494895552.03529,7517.0352941
921,399909733959,399909729603,399909713223,25092,399909729771.5916,25260.591623
922,41315801592754,41315801582553,41315801496033,106922,41315801582604.266,106973.26886792
923,104981,104977,104980,5,125464.0,20492.0
924,10236333662792,10236333628196,10236333643471,53917,10236333628323.645,54044.6442688
925,31585671889,31585671313,31585671693,772,31585672295.677418,1754.6774194
926,33861,33860,33857,5,36921.5,3066.5
927,321445873079186,321445873034665,321445872892562,231145,321445873034703.5,231183.50117647
928,94445629739741,94445629712845,94445629718132,48505,94445629712938.28,48598.28530259
929,50317324683,50317322658,50317315274,11434,50317322852.02994,11628.0299401
930,1030722569807,1030722557486,1030722560006,22122,1030722557670.4802,22306.480226
931,522013546891690,522013546831174,522013546872369,79837,522013546831305.9,79968.8979592
932,2533604524,2533601608,2533603435,4005,2533602341.7674417,4738.7674418999995
933,8833244408,8833240439,8833232959,15418,8833240591.226416,15570.2264151
944,3373402662,3373402562,3373402661,101,3373427373.0,24912.0
948,543765744,543765119,543765623,746,543767192.769231,2819.769231
951,10440059445362074,10440059440561592,10440059445277392,4885162,1.0440059440561646e+16,4885216.9512605
952,2439280223621,2439280210396,2439280215521,21325,2439280210611.404,21540.4039735
953,4653662674,4653661650,4653661713,1985,4653662312.638298,2647.6382979
954,234451573441537,234451573403121,234451573384416,95537,234451573403190.94,95606.94860814
954,234451573618417,234451573403121,234451573561296,272417,234451573403190.94,272486.94860814
955,11847197812,11847192336,11847195963,7325,11847192831.907692,7820.9076923
956,5566905698212,5566903150996,5566905685443,2559985,5566903151117.963,2560106.9625468
957,41995037602,41995012002,41995033246,29956,41995012296.88074,30250.8807339
958,240106419346,240106412785,240106412457,13450,240106413044.25204,13709.2520325
959,1220873706,1220873562,1220873625,225,1220876487.3,3150.3
960,376486472309,376486460428,376486467685,16505,376486460660.82855,16737.8285714
963,9563349466830,9563349445221,9563349461789,26650,9563349445445.604,26874.6041667
964,1493384,1493348,1493320,100,1495813.222222,2565.222222
965,3176131213,3176130852,3176129844,1730,3176131498.26,2376.26
966,962481545,962481445,962481376,269,962483124.176471,1948.176471
967,2118875361,2118875136,2118875105,481,2118876535.666667,1880.666667
968,5120261240,5120261140,5120261236,104,5120264875.0,3839.0
969,228390240320,228390236599,228390236224,7817,228390236872.1356,8090.1355932
972,1533111759682,1533111752958,1533111753753,12653,1533111753179.0205,12874.0204082
974,6375991764095,6375991755070,6375991701094,72026,6375991755149.802,72105.80195599
975,11332541236613,11332541235457,11332541236612,1157,11332541238108.584,3808.583333
978,2123311936794,2123311935273,2123311936470,1845,2123311936024.457,2596.4571429
980,28450604928602,28450604918198,28450604925121,13885,28450604918476.49,14163.4871795
