Article_id,credibility__withoutDatabyte
1484,1714
1485,1537
1486,82849
1487,1088
1488,7785
1490,455029
1491,602845
1491,115028
1493,5113
1494,120969
1495,257101
1496,474937
1497,565249
1498,408565
1498,89578
1499,408209
1500,1037
1501,520
1502,181
1502,35802
1503,369
1504,21841
1505,1202
1506,1157
1507,157
1508,2477
1508,57482
1509,8352
1511,50
1512,130
1513,5714
1514,19485
1515,593
1516,233
1516,4688
1517,37
1519,413001
1520,102617
1522,82
1523,18824
1525,225409
1526,1465
1527,3940
1528,2466
1529,9701
1530,97252
1531,1165
1535,425
1536,14945
1537,478881
1538,3060
1539,1300
1540,41128
1541,722762
1542,49745
1543,929
1544,56285
1545,2125
1546,14297
1547,500
1548,5989
1548,1873
1549,3025
1550,10397
1551,4285
1552,2900
1553,2581
1554,12325
1556,4329
1557,32400
1558,53938
1559,3626
1560,34121
1562,7853
1563,1160
1564,3044
1564,1733
1565,320
1566,64413
1567,2897
1568,32400
1569,34345
1570,25129
1571,3469
1572,109
1573,38573
1574,18989
1575,6473
1576,10405
1577,4338
1578,761
1579,7060
1580,1130
1581,845
1583,14914
1584,65
1585,2125
1586,2545
1587,613
1588,1885
1588,7290
1589,10568
1590,192305
1591,165625
1591,75689
1592,63073
1593,8840
1594,9001
1595,7785
1596,14912
1597,370
1598,146
1599,3709
1600,11560
1601,133649
1602,2610
1603,1413
1604,706
1605,317
1606,4432
1607,232
1607,10805
1608,2
1610,8
1610,23108
1611,13
1612,61
1613,83618
1614,5913
1615,3208
1616,11016
1617,3825
1620,10378
1622,8
1623,865600
1624,267733
1625,100368
1627,399258
1628,608922
1629,628757
1633,110773
1634,56840
1635,9160
1636,325
1637,802
1638,61
1639,420653
1640,218545
1641,97
1642,6953
1643,549
1644,156901
1644,65266
1645,415700
1647,3530
1648,265
1649,40477
1650,361277
1650,24157
1651,1
1652,2146
1653,139693
1654,685
1655,1145
1656,1402
1657,92773
1658,18180
1659,51210
1660,27250
1661,40069
1662,15016
1663,205
1664,2900
1665,17
1667,10
1668,1
1669,369
1670,68
1673,53
1674,257
1676,24040
1677,45668
1678,205
1679,16893
1680,4450
1682,41
1683,2669
1684,3501
1685,4225
1686,22133
1687,5825
1688,558625
1689,580
1690,5809
1691,461
1692,221
1693,11716
1693,21760
1694,58
1695,280096
1696,73
1697,20970
1698,12304
1699,58
1700,1108
1701,269057
1701,190160
1702,113
1710,413577
1711,429650
1714,340
1714,8660
1715,387265
1716,1117
1716,442
1717,1796
1718,458
1718,17069
1719,13960
1721,34381
1721,24436
1722,43354
1723,1325
1724,4810
1725,373
1726,18820
1727,21005
1728,6664
1729,1586
1730,2125
1731,962
1732,2197
1733,8794
1734,1378
1735,6514
1736,2066
1736,7625
1737,10853
1738,685
1740,130
1741,4082
1742,104
1743,58
1745,2
1746,445
1747,2389
1748,4293
1749,1845
1750,46589
1751,850
1752,901
1753,5477
1754,485
1755,10421
1756,2669
1758,5449
1759,613
1760,7592
1761,9162
1762,14578
1763,202
1764,650
1765,3538
1766,2
1767,7592
1768,2925
1769,2
1770,177641
1773,15130
1774,17137
1776,58676
1777,463594
1777,138346
1778,40410
1778,15913
1778,33898
1779,4625
1781,480946
1783,88873
1784,112388
1786,75665
1787,478714
1788,1961
1789,7848
1790,13194
1791,43634
1793,492593
1794,392002
1797,33210
1798,1028
1799,10170
1800,107060
1801,298
1802,3816
1805,207829
1806,2728521
1807,7124
1809,650
1810,2276
1811,106
1812,71114
1814,293530
1820,5185
1822,120356
1823,12802
1824,116
1825,6197
1826,503642
1827,530525
1828,432001
1830,5
1832,1693
1834,5202
1835,14341
1837,37409
1839,13352
1840,4122
1841,12564
1842,28845
1844,435368
1845,142949
1847,6673
1847,2713
1848,53
1849,1256
1851,5120
1853,11080
1854,39625
1855,1025
1857,15385
1858,468
1859,167810
1860,65
1862,570033
1864,32090
1866,853
1869,10282
1869,32805
1870,290
1871,13037
1872,15217
1873,1465
1874,4626
1875,1325
1876,377
1876,5492
1877,130
1878,9370
1879,4981
1880,2176
1881,158624
1881,114193
1884,191509
1884,168101
1885,6121
1887,1220
1889,13
1890,340136
1893,5274
1893,3706
1894,2984
1896,2125
1897,228105
1898,2305
1899,41329
1902,58925
1905,4264
1906,85
1908,541
1909,3897
1909,2797
1910,10666
1911,23236
1912,4264
1913,1517
1914,50885
1915,10216
1916,3362
1919,1000
1920,8065
1921,1955125
1923,53330
1924,2665
1925,20000
1926,6649
1927,7381
1928,481
1930,794729
1931,5989
1933,6344
1934,14125
1935,218
1936,1
1937,130320
1938,342805
1939,3449
1940,4621
1941,23137
1942,171010
1943,51208
1944,45844
1945,385754
1946,1480
1947,85
1948,119650
1949,832
1950,729845
1951,43490
1952,34
1955,105485
1957,25789
1959,20
1960,818
1961,997736
1962,26153
1963,14562
1965,57973
1966,21037
1967,28450
1968,25425
1969,284713
1970,19258
1971,47237
1972,386
1973,508265
1974,391141
1975,31105
1976,485
1977,9197
1978,1700
1979,67289
1980,215456
1981,179210
1985,3104
1986,617
1988,27521
1990,459170
1991,200
1994,10496
1997,41233
1998,475652
2002,505
2003,6161
2004,3545
2006,510289
2006,380689
2007,142097
2009,66874
2011,470660
2014,50
2015,2545
2017,10845
2018,16570
2019,20068
2020,7474
2021,5729
2023,60392
2024,7688
2025,1201
2025,22826
2026,44180
2027,40324
2028,976
2029,16025
2030,314122
2032,29060
2036,90133
2037,22052
2038,821
2039,18482
2041,200842
2042,36244
2043,20873
2043,27290
2045,59845
2047,151234
2049,3970
2050,2
2051,477
2052,28564
2053,28285
2057,221
2061,1314
2062,129761
2063,2249
2063,4361
2063,15149
2064,13460
2065,73124
2067,200617
2070,39888
2070,12240
2071,5
2075,123506
2076,41549
2077,13498
2078,13445
2079,2
2080,11245
2082,13844
2083,22864
2084,96100
2085,134721
2086,421
2087,8762
2088,23770
2088,24202
2089,10897
2090,1690
2093,2344
2094,544
2095,1013
2099,10786
2100,3380
2100,31177
2101,270976
2102,388450
2103,407125
2104,51885
2106,8989
2108,17348
2110,10313
2112,3940
2113,1700
2114,40225
2114,17488
2115,11322
2116,117466
2117,8685
2118,7786
2120,2986
2121,10613
2122,543250
2123,346
2123,18181
2125,1341
2126,78809
2127,325
2128,72612
2129,198677
2130,239665
2132,5
2132,226
2134,276050
2136,37330
2137,4573
2138,125
2139,738945
2140,494024
2141,102933
2142,7949
2142,5450
2144,510313
2145,2938
2147,60820
2148,16900
2148,11581
2149,10237
2149,157
2150,89
2151,4961
2151,27361
2152,57458
2153,7540
2154,1740050
2154,1093789
2155,5
2156,508468
2160,9865
2161,2129
2162,161104
2163,13397
2164,58
2165,261
2166,122825
2167,481
2170,1872
2171,8036
2174,1454989
2175,132553
2176,71738
2176,276530
2178,766757
2179,31481
2180,9010
2185,886261
2186,68276
2187,68864
2187,26624
2188,185
2190,17
2192,414440
2193,42561
2194,511592
2195,600289
2195,258145
2196,611152
2196,177812
2197,37442
2198,8912
2199,56498
2200,1921
2201,10789
2202,5904
2203,4474
2204,243301
2205,1544
2206,1
2207,10964
2208,45053
2209,6082
2210,44680
2213,181
2215,95509
2216,62066
2217,80660
2218,2178
2219,405824
2221,10501
2222,160325
2224,546597
2226,46181
2226,43730
2227,58
2230,1282
2230,41645
2232,745
2233,7976
2234,189113
2235,1960
2236,19445
2237,19336
2238,5570
2239,16020
2240,4762
2241,53122
2242,21149
2243,32170
2244,2384
2245,4645
2246,28450
2246,17729
2247,49081
2249,97
2250,218
2251,7892
2254,40545
2254,70930
2255,65
2257,80530
2259,108576
2264,2377
2268,71537
2269,2
2269,3601
2270,67570
2271,29
2273,557960
2274,43405
2278,30032
2279,503541
2282,11909
2283,12850
2284,4930
2286,22050
2287,9685
2287,5429
2288,3380
2289,25538
2290,10
2293,97480
2293,80365
2295,180
2296,20338
2299,1684
2300,99985
2300,63729
2303,257056
2303,80657
2304,2186
2305,23618
2306,82
2308,8249
2310,264074
2310,212909
2313,2665
2314,15649
2315,493901
2316,12802
2318,12532
2319,74
2320,257
2321,628741
2322,5426
2323,5200
2326,488930
2328,49298
2329,389
2330,1808
2331,2440
2331,13428
2332,13834
2333,5273
2335,10400
2338,4285
2339,1184
2339,64916
2340,2257
2341,21050
2343,5650
2345,138778
2345,27938
2346,7373
2348,18250
2349,3140
2355,1765
2356,952901
2357,265165
2358,307600
2359,2866
2360,5090
2362,150376
2363,12644
2368,15210
2369,142385
2371,18482
2372,3433
2375,459890
2376,11002
2377,577546
2377,141109
2379,202
2380,41233
2381,613
2382,14912
2383,6370
2384,1576
2386,664290
2388,172673
2389,2173
2390,11194
2391,7433
2392,9153
2393,23665
2393,32485
2394,10964
2395,440912
2396,22373
2397,197642
2398,12050
2398,54394
2399,50266
2399,33641
2400,316945
2402,119786
2402,96050
2403,306857
2405,19346
2406,17000
2408,52282
2409,4285
2411,63058
2412,388
2414,26098
2415,73928
2416,4330
2417,37141
2418,486725
2419,293
2420,1397234
2421,26
2422,57469
2425,145261
2427,3145
2428,41546
2429,3538
2431,11789
2432,29
2433,14152
2434,5
2435,1865
2436,12602
2439,4608
2440,3874
2441,4381
2442,97226
2443,45765
2444,4285
2446,10
2447,195410
2447,109961
2447,321161
2448,962
2452,2465
2453,50
2457,72301
2459,250
2460,1252849
2461,290
2463,83129
2465,29794
2466,23956
2467,14792
2469,890
2470,3330
2471,2113
2472,36370
2473,6409
2474,11565
2475,850
2475,216025
2476,1445
2477,3341
2477,17629
2478,932
2482,94469
2482,105473
2483,410045
2484,11026
2486,884
2487,1405
2489,8
2490,1733
2493,67570
2494,41225
2495,26
2496,17
2499,28730
2500,312626
2501,4561
2502,522
2503,91309
2504,162180
2504,117252
2506,4276
2508,120050
2509,170
2510,16360
2510,6613
2511,3626
2512,14116
2512,4909
2514,11828
2519,7738
2520,625
2523,274
2524,61316
2525,1
2526,2600
2528,1429
2529,8357
2531,225
2533,5
2534,115505
2536,2642
2537,241
2539,74997
2542,18
2543,44018
2544,8089
2546,29097
2547,121860
2551,1753
2552,4490
2552,8893
2553,10730
2557,40
2558,628
2559,697
2560,16325
2561,701
2563,32017
2564,478909
2565,2
2568,2
2568,20737
2572,5
2573,19802
2574,8945
2575,306893
2577,7569
2578,2690
2580,720
2581,72410
2582,269
2583,3712
2584,170
2585,50
2586,68
2589,17
2592,5341
2593,212132
2594,580100
2597,12385
2598,8933
2599,900
2602,1802
2603,985
2604,90
2605,520
2606,1490
2607,2665
2608,8762
2609,5317
2610,8138
2612,146
2613,7801
2613,4729
2616,46657
2617,1684
2618,115866400
2619,1082
2619,2330
2620,1066
2621,1250
2621,21074
2622,3725
2623,1060
2624,173749
2626,5480
2626,5837
2627,92800
2628,11642
2629,3469
2630,481
2630,3737
2631,5508
2632,3706
2633,3089
2634,2701
2635,164
2637,2725
2638,45
2639,22613
2640,12665
2641,2210
2642,18882
2643,37
2644,401
2645,12905
2645,8477
2646,2890
2646,353
2647,20
2654,72
2654,36
2661,9365
2662,3920
2663,3305
2664,4141
2665,1040
2666,7880
2667,2389
2668,9533
2670,6920
2671,14089
2672,97
2673,3754
2673,20050
2674,4850
2675,194
2676,12025
2677,2314
2678,6660
2679,865
2680,765
2681,6385
2682,3258
2682,73
2683,1746
2684,425
2685,4145
2686,1808
2687,2938
2688,13957
2689,10421
2690,485
2691,2689
2691,5321
2692,5746
2693,51741
2694,12850
2695,16441
2696,369
2697,2
2698,3872
2699,6001
2700,1682
2701,14504
2701,19300
2702,1802
2703,18292
2704,16201
2705,69925
2707,365
2709,72180
2710,15080
2711,23725
2712,6565
2713,865
2713,3925
2714,3265
2715,51781
2716,2749
2717,2197
2718,42100
2719,73
2720,1060
2721,47241
2722,14612
2723,114781
2724,6857
2725,1
2726,549
2728,185
2729,365
2732,3461
2733,540761
2734,423202
2735,567205
2736,93640
2738,9497
2739,689
2740,725
2741,7250
2742,388
2745,158810
2746,306
2747,22829
2749,44245
2749,40501
2751,20
2752,125840
2753,34969
2754,2248
2756,27560
2758,3965
2759,53
2760,1409
2761,55985
2762,1921
2762,11700
2763,18594
2764,21233
2766,1090
2767,15977
2768,40
2769,1125
2770,3109
2771,121645
2778,54513
2779,122218
2780,15440
2781,15885
2782,54821
2783,16705
2784,30133
2785,1201
2786,50389
2787,78013
2787,46378
2788,25789
2790,91396
2792,53890
2795,392930
2799,8705
2802,10273
2803,141242
2804,40
2807,32266
2809,482
2810,17937
2812,10666
2813,13682
2815,13625
2819,76985
2820,6445
2822,23593
2822,705690
2823,9397
2824,14365
2826,2249
2827,2210
2828,452
2829,5
2830,801
2832,231524
2833,365
2834,17429
2835,10580
2836,2362
2837,9
2838,10600
2839,29770
2840,3856
2842,1
2843,845
2844,57709
2846,36450
2847,196677
2848,1
2849,27476
2850,5101
2850,3869
2851,12368
2853,746
2854,3485
2856,2340
2858,5645
2861,493490
2862,1156
2864,44426
2865,6529
2866,3869
2867,608218
2868,1097
2869,4597
2870,36842
2871,890
2872,320
2873,2
2875,29864
2876,1
2877,14425
2878,377
2880,2
2881,2066
2883,25610
2885,12904
2889,11282
2890,9457
2893,47605
2894,3929
2896,257
2897,1985
2899,2197
2900,2056
2900,20756
2902,37
2904,85
2905,130597
2906,12370
2907,1517
2908,3617
2909,221689
2911,32045
2912,82
2913,3284
2914,2
2915,2210
2916,2482
2917,20825
2919,26333
2920,12233
2923,244658
2925,28793
2926,1
2927,132210
2928,19602
2929,10
2934,80008
2935,1873
2936,17992
2938,125
2939,1000
2940,52765
2941,1360
2942,49594
2943,31153
2944,816901
2945,1277
2945,7240
2947,2466
2948,4250
2950,2645
2952,27200
2953,133093
2955,17104
2956,986
2957,2056
2959,5960
2959,6740
2961,54965
2963,476866
2964,194
2964,25
2965,239065
2966,320
2968,325
2969,5
2970,194
2971,82
2972,27689
2973,240201
2974,14293
2975,12973
2978,560781
2980,101
2981,130
2983,271300
2984,4250
2985,185
2986,15993
2987,37265
2988,267089
2988,10181
2989,22385
2990,292
2991,274
2992,38996
2994,17924
2995,104617
2997,1193
2999,6381
3000,2522
