Node,credibility-WithoutUsercount,credibility-whioutDatabyte,credibility-withoutline,credibility-whioutDatabyte_withMeanData,credibility-withoutline_withMeanData,HITS
572,0.140993756,0.005639441,0.006035144,0.146164777,1.40E-11,1.67E-06
573,8.98E-05,3.59E-06,3.84E-06,0.000103967,1.03E-09,2.38E-06
574,0.024958853,0.000998299,0.001068347,0.147661345,1.41E-11,2.23E-06
575,0.123255071,0.004929933,0.005275851,6.48E-05,6.24E-10,0.0068724
576,4.87E-05,1.95E-06,2.08E-06,0.150155624,1.44E-11,0.001546281
578,0.146887763,0.005875188,0.006287433,3.42E-05,5.17E-06,0.00033693
579,0.171092185,0.006843312,0.007323487,0.151153336,1.45E-11,1.27E-05
580,1.17E-06,4.66E-08,4.99E-08,0.003589488,0.024029149,3.86E-06
584,0.029646572,0.001185798,0.001269002,0.152151048,1.46E-11,0.001211154
586,0.230306706,0.009211763,0.009858125,0.001203939,0.00019516,2.37E-05
587,0.203049867,0.00812155,0.008691414,0.153148759,1.47E-11,9.56E-05
590,0.002738689,0.000109542,0.000117228,0.014795791,0.016625944,0.000110597
591,0.001538642,6.15E-05,6.59E-05,0.153647615,1.47E-11,9.49E-07
592,0.376466823,0.015057848,0.016114412,0.005538877,0.001512755,0.00039423
593,0.023133255,0.000925279,0.000990204,0.154146471,1.48E-11,0.001394275
594,0.239513606,0.009580019,0.01025222,3.07E-05,0.002423372,0.002409136
595,0.423485772,0.016938502,0.018127026,0.155144183,1.49E-11,0.006979369
596,0.001428667,5.71E-05,6.12E-05,0.00455224,5.06E-05,5.15E-05
597,2.90E-09,1.16E-10,1.24E-10,0.155643039,1.49E-11,0.000179918
599,0.002231873,8.93E-05,9.55E-05,0.002467661,0.835063553,0.00031043
600,5.40E-09,2.16E-10,2.31E-10,0.156141895,1.50E-11,2.32E-07
606,3.73E-08,1.49E-09,1.60E-09,0.00252035,0.829791708,0.000258693
612,0.05102996,0.002041087,0.002184303,0.156640751,1.50E-11,0.000139408
615,0.61600205,0.024638732,0.026367558,0.002180165,0.415886484,0.00875894
616,0,0,0,0.157139607,1.50E-11,2.32E-07
617,0.016243144,0.00064969,0.000695277,0.000535966,0.02442369,0.004344664
618,0.017296545,0.000691824,0.000740367,0.157638462,1.51E-11,0.000836497
620,0.000178854,7.15E-06,7.66E-06,0.000157125,0.120689559,0.000149685
621,0.008901928,0.000356058,0.000381041,0.158137318,1.51E-11,9.96E-05
623,0.000536926,2.15E-05,2.30E-05,0.000122763,0.003406027,0.000395566
624,0.004525962,0.000181029,0.000193731,0.15913503,1.52E-11,0.003181253
625,0.007306554,0.000292246,0.000312752,0.000247273,0.027109946,0.000970593
627,0.610600771,0.024422692,0.026136359,0.159633886,1.53E-11,0.003537289
628,0.037332709,0.001493227,0.001598002,2.33E-05,0.002112436,0.00395132
629,2.74E-07,1.10E-08,1.17E-08,0.160132742,1.53E-11,0.002880207
630,0.025183654,0.001007291,0.00107797,2.01E-05,0.002011458,0.012272705
632,0.25829706,0.010331316,0.011056234,0.160631598,1.54E-11,0.000899314
633,0.022410343,0.000896365,0.00095926,3.78E-05,6.68E-10,1.51E-06
634,0.009503118,0.000380104,0.000406775,0.161130454,1.54E-11,0.000284674
639,0.000324341,1.30E-05,1.39E-05,2.24E-05,5.76E-07,0.000167498
640,0.017754201,0.000710129,0.000759957,0.16162931,1.55E-11,0.006087205
642,0.078453957,0.003137986,0.003358169,0.002685606,0.000260735,0.00069758
643,0.581503616,0.02325887,0.024890875,0.162128166,1.55E-11,0.000405891
644,0.002028844,8.11E-05,8.68E-05,0.000110073,4.80E-05,8.40E-08
645,0.09488727,0.003795283,0.004061586,0.162627021,1.56E-11,0.007602802
649,0.458808129,0.018351319,0.019638976,2.31E-05,2.35E-06,0.002009366
650,0.000395483,1.58E-05,1.69E-05,0.163624733,1.57E-11,0.000257598
651,4.44E-05,1.78E-06,1.90E-06,0.000193671,0.000907906,0.000342315
652,0.389069712,0.015561936,0.01665387,0.164622445,1.58E-11,0.000479651
653,0.000647571,2.59E-05,2.77E-05,0.878984085,3.44E-05,0.001817899
654,0.110683916,0.004427114,0.004737751,0.165620157,1.59E-11,0.001091625
655,0.116762438,0.004670242,0.004997938,6.33E-05,0.01714768,0.002967087
656,0.000006781,2.71E-07,2.90E-07,0.166119013,1.59E-11,0.000921935
657,0.028243356,0.001129672,0.001208938,4.72E-05,7.06E-07,0.00021628
658,0.169118608,0.006764374,0.007239009,0.166617869,1.60E-11,0.00291311
659,0.027761635,0.001110405,0.001188318,5.56E-05,0.02629513,0.000166413
661,0.497783335,0.019910242,0.021307284,0.16761558,1.60E-11,0.001562059
662,0.007111684,0.000284452,0.000304411,0.000815944,5.98E-05,2.18E-05
663,0.000518469,2.07E-05,2.22E-05,0.168114436,1.61E-11,0.001172097
664,0.303535929,0.012140772,0.012992653,0.000778405,3.08E-05,0.006489897
665,0.000844805,3.38E-05,3.62E-05,0.168114436,1.61E-11,0.001735068
666,0.000710064,2.84E-05,3.04E-05,0.000373334,3.08E-05,9.12E-05
668,0.01575546,0.000630184,0.000674402,0.169112148,1.62E-11,0.000488394
669,0.045048541,0.001801843,0.001928273,0.004418885,0.004389411,0.001265126
670,9.07E-06,3.63E-07,3.88E-07,0.169611004,1.62E-11,2.01E-06
673,1.24E-05,4.96E-07,5.31E-07,3.02E-05,0.000469427,3.17E-06
674,0.000111791,4.47E-06,4.79E-06,0.171606428,1.64E-11,0.004795257
675,0.056709621,0.002268261,0.002427418,5.47E-05,0.00922352,0.000257071
676,3.48E-05,1.39E-06,1.49E-06,0.173601851,1.66E-11,0.003931828
677,0.008839516,0.000353561,0.00037837,7.32E-05,0.026741309,0.005221608
678,0.00694276,0.000277695,0.00029718,0.174100707,1.67E-11,3.01E-06
679,0.001027405,4.11E-05,4.40E-05,9.95E-05,0.321874816,0.000152912
680,0.015967262,0.000638655,0.000683468,0.174100707,1.67E-11,0.000126995
681,0.000000001,4.00E-11,4.28E-11,2.41E-05,0.321874816,0.000614214
682,0,0,0,0.175098419,1.68E-11,0.000696114
683,0.000101158,4.05E-06,4.33E-06,4.06E-05,6.09E-05,0.004169652
684,0.010589045,0.000423539,0.000453257,0.17859041,1.71E-11,8.97E-09
685,0.355652969,0.014225339,0.015223488,0.002851904,0.001918685,0.000596464
689,0.00217841,8.71E-05,9.32E-05,0.17859041,1.71E-11,0.00033484
690,0.039324133,0.001572879,0.001683243,0.001564617,0.001918685,8.01E-06
691,0.040267582,0.001610615,0.001723627,0.179089266,1.71E-11,4.17E-05
696,0.012803838,0.000512125,0.00054806,0.000297079,0.003275034,1.63E-06
697,0.399497413,0.015979021,0.017100221,0.183578969,1.76E-11,0.006921705
698,4.37E-06,1.75E-07,1.87E-07,7.06E-05,2.24E-05,0.002252225
699,0.002189225,8.76E-05,9.37E-05,0.184077825,1.76E-11,0.000480997
700,0.024823804,0.000992898,0.001062566,3.13E-05,0.162608315,3.02E-05
701,0.063983158,0.002559186,0.002738756,0.283350148,2.71E-11,0.010105438
703,0.179259094,0.007169971,0.007673066,0.000875607,0.000492151,0.000464745
704,0.741708332,0.029666707,0.031748331,0.283849004,2.72E-11,0.005022069
705,0.033047387,0.001321823,0.001414571,0.001371051,0.001258683,0.000219643
706,0.01839832,0.000735892,0.000787528,0.28434786,2.72E-11,0.001373373
707,0.033672305,0.001346818,0.001441321,0.001476314,0.000638095,0.003352005
708,0.000337682,1.35E-05,1.45E-05,0.284846715,2.73E-11,0.001683411
709,0.006284595,0.00025137,0.000269008,0.000140682,0.001323608,1.79E-07
710,0.029351224,0.001173985,0.00125636,0.285345571,2.73E-11,0.000594017
711,5.14E-06,2.06E-07,2.20E-07,6.63E-05,0.035633643,0.000197368
712,0.000210466,8.42E-06,9.01E-06,0.285844427,2.74E-11,0.002279484
713,0.000112954,4.52E-06,4.83E-06,0.004090339,0.002544094,0.00072622
715,0.071557745,0.002862153,0.003062982,0.286343283,2.74E-11,0.001368513
717,0.014066973,0.000562648,0.000602127,4.08E-05,5.95E-05,0.000303146
718,0.005632046,0.000225269,0.000241076,0.286842139,2.75E-11,0.000374149
719,9.62E-05,3.85E-06,4.12E-06,0.000151024,4.39E-07,0.000704302
728,0.086397507,0.003455711,0.003698188,0.287340995,2.75E-11,1.30E-07
730,0.029151816,0.001166009,0.001247824,0.004573875,0.00159746,0.000127514
734,0.018191807,0.000727632,0.000778688,0.288338707,2.76E-11,0.000103862
735,1.28E-07,5.10E-09,5.46E-09,0.00070188,2.68E-05,8.97E-06
736,0.039071875,0.001562789,0.001672446,0.288837563,2.77E-11,0.001056608
737,0.091564768,0.00366239,0.003919369,0.000524557,0.07308206,5.76E-05
738,1.38E-05,5.52E-07,5.91E-07,0.289336418,2.77E-11,0.00090976
740,0.082358824,0.003294172,0.003525315,0.00041183,0.040259677,2.71E-06
741,0.000679113,2.72E-05,2.91E-05,0.291331842,2.79E-11,0.002256565
742,0.215045195,0.008601336,0.009204866,1.67E-05,0.006083866,0.002453896
744,0.018258515,0.000730301,0.000781544,0.292329554,2.80E-11,0.001789031
746,0.765663867,0.030624876,0.032773732,0.001110658,0.000323393,0.001278702
748,2.00E-10,8.00E-12,8.56E-12,0.29282841,2.80E-11,0.001108736
749,0.105155156,0.004205976,0.004501096,0.002346254,0.000262608,0.000178941
751,1.16E-08,4.64E-10,4.97E-10,0.294324977,2.82E-11,0.000779672
752,0,0,0,0.000146294,7.47E-05,0.000449876
753,0.000861988,3.45E-05,3.69E-05,0.294823833,2.82E-11,0.00041972
755,0.067374864,0.002694847,0.002883936,6.02E-05,2.74E-06,0.004423795
759,0.030505396,0.001220149,0.001305763,0.295322689,2.83E-11,0.000872725
762,0.047359911,0.001894293,0.002027209,4.77E-05,6.29E-05,0.002915121
764,0.003818774,0.000152743,0.00016346,0.295821545,2.83E-11,0.000911637
765,0.105437969,0.004217288,0.004513202,0.001488342,4.63E-05,0.001232349
766,0.416460262,0.016657497,0.017826304,0.296320401,2.84E-11,0.000149792
768,0.000949462,3.80E-05,4.06E-05,0.002430007,0.000625272,2.01E-06
769,0.102210782,0.004088207,0.004375064,0.296819257,2.84E-11,0.004024108
770,0.002493631,9.97E-05,0.000106738,0.005171948,0.008213156,0.000513541
771,0.059850996,0.002393909,0.002561882,0.297318113,2.85E-11,0.00052107
772,4.20E-09,1.68E-10,1.80E-10,0.000157185,6.21E-07,0.001485956
773,0.09274247,0.003709495,0.00396978,0.297816969,2.85E-11,0.000239617
775,0.19192386,0.007676534,0.008215173,7.81E-05,0.016778406,0.001166449
776,0.343477367,0.013738342,0.01470232,0.29881468,2.86E-11,0.000794695
777,0.001525816,6.10E-05,6.53E-05,0.000120154,0.406753915,0.00012454
779,0.028084482,0.001123318,0.001202138,0.299313536,2.87E-11,0.000266222
780,0.028474031,0.001138899,0.001218812,0.001428055,0.575272065,0.002078743
782,3.46E-05,1.38E-06,1.48E-06,0.302306672,2.89E-11,0.000212818
783,0.371519899,0.014859981,0.015902662,3.12E-05,6.12E-10,0.000555414
784,0.006053479,0.000242126,0.000259115,0.305299807,2.92E-11,0.001003546
785,4.82E-05,1.93E-06,2.07E-06,5.42E-05,0.034894584,0.000278566
786,3.49E-06,1.40E-07,1.50E-07,0.306796375,2.94E-11,7.00E-06
787,0.248121034,0.009924297,0.010620656,2.50E-05,0.009005657,0.000724334
788,0.109536058,0.004381202,0.004688618,0.307295231,2.94E-11,0.007875774
789,0.10823126,0.004329013,0.004632767,3.11E-05,3.40E-10,0.002938209
791,0.006386128,0.000255431,0.000273354,0.307794087,2.95E-11,0.000678607
794,0.021869756,0.000874742,0.00093612,0.871501247,2.52E-07,0.002776869
795,0.010177917,0.000407094,0.000435659,0.307794087,2.95E-11,0.000235391
798,0.05990033,0.002395882,0.002563994,0.000408164,2.52E-07,0.000122907
799,0.001699153,6.80E-05,7.27E-05,0.307794087,2.95E-11,9.38E-06
800,0.314745116,0.012589115,0.013472455,0.000141176,2.52E-07,0.003357634
801,0.253981042,0.010158685,0.010871489,0.308292942,2.95E-11,0.002351029
802,0.285252504,0.011409475,0.012210043,2.73E-05,4.11E-10,1.27E-06
803,0.002841855,0.000113668,0.000121644,0.308292942,2.95E-11,0.002458241
804,0.020149105,0.00080592,0.000862469,0.000126445,4.11E-10,0.003197239
806,0.001273522,5.09E-05,5.45E-05,0.309290654,2.96E-11,2.06E-05
808,0.048601295,0.001943945,0.002080346,0.002544599,0.000389472,0.000194117
809,0.017048173,0.00068189,0.000729736,0.30978951,2.97E-11,0.000557599
813,0.1603506,0.006413672,0.006863701,0.000520017,0.293729235,9.79E-05
814,0.000082521,3.30E-06,3.53E-06,0.310787222,2.98E-11,7.84E-05
815,0.142133072,0.005685011,0.006083911,8.00E-05,0.001098557,0.000172379
816,0.005395502,0.000215808,0.000230951,0.310787222,2.98E-11,8.15E-05
818,5.76E-06,2.31E-07,2.47E-07,0.000171023,0.001098557,0.00012542
819,0.013657297,0.000546262,0.000584592,0.311286078,2.98E-11,0.000144672
820,0.000967414,3.87E-05,4.14E-05,0.007566741,0.047926517,5.80E-05
821,0.00040516,1.62E-05,1.73E-05,0.311784934,2.99E-11,0.00049607
822,0.075434042,0.003017196,0.003228904,0.000281085,0.195013022,0.001664191
824,1.46E-05,5.85E-07,6.26E-07,0.312782646,2.99E-11,9.30E-06
825,0.000752674,3.01E-05,3.22E-05,0.002521088,0.000230915,0.004508468
826,0.000931709,3.73E-05,3.99E-05,0.313281501,3.00E-11,0.000765356
827,2.87E-05,1.15E-06,1.23E-06,0.001002077,5.20E-05,0.001874208
828,0.02586215,0.001034429,0.001107012,0.313780357,3.00E-11,4.39E-05
832,0.311507857,0.012459631,0.013333886,1.97E-05,2.81E-05,0.000995637
835,0.146730361,0.005868893,0.006280695,0.314279213,3.01E-11,0.000130835
839,0.012719267,0.000508743,0.00054444,7.35E-05,0.000318524,0.000520949
840,0.000000023,9.20E-10,9.85E-10,0.315276925,3.02E-11,2.50E-06
841,0.000000596,2.38E-08,2.55E-08,0.00013286,0.254984186,0.022088607
842,0.02618933,0.001047516,0.001121017,0.315775781,3.02E-11,0.000268594
843,0.06758037,0.002703067,0.002892733,0.000695515,0.000269182,0.01080438
844,0.469485534,0.018778392,0.020096016,0.316274637,3.03E-11,0.000574563
846,8.82E-07,3.53E-08,3.77E-08,5.27E-05,0.119958369,0.000536386
848,0.000807471,3.23E-05,3.46E-05,0.318768916,3.05E-11,0.009286862
849,0.000221938,8.88E-06,9.50E-06,0.000678773,0.000534552,0.006500492
850,1.32E-08,5.28E-10,5.65E-10,0.319267772,3.06E-11,0.007527003
851,0.150277398,0.006010766,0.006432524,7.41E-05,0.000423115,0.010138987
852,0.000100345,4.01E-06,4.30E-06,0.320265484,3.07E-11,5.01E-06
853,0.015053671,0.000602114,0.000644362,2.37E-05,0.000975371,0.000247258
854,0.002002623,8.01E-05,8.57E-05,0.32076434,3.07E-11,0.005847655
855,0.0116051,0.000464179,0.000496749,1.33E-05,0.014436709,0.000901417
856,0.434058786,0.0173614,0.018579597,0.321263196,3.08E-11,5.93E-07
857,0.031892651,0.001275636,0.001365144,0.000107583,1.44E-08,0.003580141
858,0.01165993,0.000466372,0.000499096,0.321762052,3.08E-11,0.001888929
859,0.476846385,0.01907281,0.020411092,1.16E-05,8.11E-05,0.012755369
860,0.043527535,0.001741006,0.001863167,0.323757475,3.10E-11,0.007895906
862,0.004669758,0.00018678,0.000199886,0.981748399,0.000392769,0.002774875
863,0.008996465,0.000359839,0.000385088,0.324256331,3.10E-11,0.002994086
864,0.000273476,1.09E-05,1.17E-05,3.22E-05,0.006626597,7.68E-05
865,0.000939228,3.76E-05,4.02E-05,0.324755187,3.11E-11,5.01E-06
866,2.30E-05,9.19E-07,9.83E-07,0.000129209,0.31483724,2.01E-06
868,0.004473436,0.000178928,0.000191482,0.325254043,3.11E-11,2.01E-06
869,0.012589978,0.000503572,0.000538906,1.73E-05,8.92E-05,0.000155697
870,0.015688317,0.000627498,0.000671528,0.325752899,3.12E-11,2.97E-05
872,0.008122274,0.000324873,0.000347669,5.17E-05,9.29E-05,9.07E-05
873,0.549516422,0.021979452,0.023521684,0.326251755,3.12E-11,0.000109316
874,0.135133622,0.005405049,0.005784305,2.04E-05,5.37E-08,0.002270653
875,0.00000769,3.08E-07,3.29E-07,0.326750611,3.13E-11,0.011673689
876,0.23793108,0.009516722,0.010184481,0.000507192,1.60E-05,0.00194451
877,6.43E-08,2.57E-09,2.75E-09,0.326750611,3.13E-11,0.000218726
878,0.064409187,0.002576226,0.002756992,0.000621086,1.60E-05,0.008121025
880,0.013798251,0.0005519,0.000590625,0.326750611,3.13E-11,0.000718166
881,0.038435728,0.001537345,0.001645216,0.001270441,1.60E-05,0.00098686
882,0.000151681,6.07E-06,6.49E-06,0.327249466,3.13E-11,0.002582533
883,0.159938395,0.006397185,0.006846056,0.000647161,2.68E-05,8.37E-05
884,0.000109348,4.37E-06,4.68E-06,0.327748322,3.14E-11,4.89E-06
885,0.001024364,4.10E-05,4.38E-05,0.000151902,0.879279205,0.000250096
886,0.009245592,0.000369803,0.000395751,0.328247178,3.14E-11,2.24E-05
887,9.28E-07,3.71E-08,3.97E-08,5.21E-05,0.04684867,0.0007183
888,0.266578555,0.010662558,0.011410718,0.328746034,3.15E-11,0.000678371
889,0.000468398,1.87E-05,2.00E-05,5.26E-05,0.011507091,0.00063361
890,0.000170353,6.81E-06,7.29E-06,0.329743746,3.16E-11,0.014793942
891,0.000243708,9.75E-06,1.04E-05,4.63E-05,0.047680889,0.001064777
892,0.003185766,0.000127424,0.000136365,0.330242602,3.16E-11,0.000638438
893,0.047482295,0.001899188,0.002032448,0.001710238,0.000277848,0.001227578
894,0.036300467,0.001451939,0.001553817,0.330741458,3.17E-11,0.000216504
895,6.03E-05,2.41E-06,2.58E-06,0.000682156,0.001307495,0.000108502
896,1.02E-05,4.10E-07,4.38E-07,0.331240314,3.17E-11,0.000140061
897,3.85E-05,1.54E-06,1.65E-06,0.00094818,2.04E-05,0.002877522
898,0.016701845,0.000668037,0.000714911,0.331739169,3.18E-11,8.16E-05
899,2.75E-07,1.10E-08,1.18E-08,0.000103143,0.207511092,0.000228291
900,0.000743843,2.98E-05,3.18E-05,0.332238025,3.18E-11,0.000697867
901,0.00138104,5.52E-05,5.91E-05,0.000206442,0.247543438,0.000574715
902,0.005028278,0.00020112,0.000215232,0.333235737,3.19E-11,0.01453769
903,0.179461512,0.007178067,0.007681731,0.963789587,0.000297234,5.29E-05
904,0.022553875,0.000902106,0.000965404,0.333734593,3.20E-11,0.000134918
905,0.001057747,4.23E-05,4.53E-05,0.00010462,1.01E-09,0.000103431
906,0.467485971,0.018698414,0.020010426,0.334233449,3.20E-11,0.002368251
909,8.51E-05,3.40E-06,3.64E-06,0.00142126,0.080660234,0.005554796
910,0.272398684,0.01089535,0.011659844,0.335730017,3.21E-11,1.38E-06
911,0.114093987,0.004563509,0.004883717,7.22E-05,0.004009482,0.005508193
912,0.015760787,0.000630397,0.00067463,0.336228873,3.22E-11,0.000185559
913,0.014629584,0.000585151,0.00062621,0.000366305,0.000392003,0.005602304
914,0.653304591,0.026130751,0.027964268,0.336727728,3.22E-11,0.002700481
915,1.08E-05,4.32E-07,4.62E-07,1.26E-05,0.001599678,4.89E-07
917,0.679379393,0.027173686,0.029080382,0.337226584,3.23E-11,7.04E-06
918,6.03E-06,2.41E-07,2.58E-07,0.000402846,1.85E-05,5.01E-06
920,0.012547879,0.000501888,0.000537104,0.33772544,3.23E-11,5.01E-06
921,0.000215476,8.62E-06,9.22E-06,0.000190009,2.22E-05,5.01E-06
922,0.010664463,0.000426555,0.000456485,0.338224296,3.24E-11,5.54E-06
923,0.053645587,0.002145706,0.002296264,2.88E-05,0.018749385,2.01E-06
924,0.139890253,0.005595303,0.005987909,0.338723152,3.24E-11,5.41E-06
925,2.00E-10,8.00E-12,8.56E-12,0.00042061,0.004253277,2.39E-05
926,0.010869927,0.000434773,0.00046528,0.339222008,3.25E-11,0.000681443
927,0.027060932,0.001082378,0.001158325,0.000352556,0.098277564,0.000449705
928,3.71E-05,1.49E-06,1.59E-06,0.339720864,3.25E-11,4.40E-07
929,0.001625296,6.50E-05,6.96E-05,5.23E-05,0.012084652,1.64E-06
930,0.018683495,0.000747299,0.000799735,0.34021972,3.26E-11,3.04E-06
931,0.000587513,2.35E-05,2.51E-05,9.68E-05,0.410778938,1.64E-06
932,0.002263006,9.05E-05,9.69E-05,0.340718576,3.26E-11,6.95E-06
933,0.164806169,0.006591885,0.007054418,3.69E-05,0.000393283,0.000878594
944,0.000468791,1.88E-05,2.01E-05,0.341217431,3.27E-11,0.004286375
948,0.185153623,0.007405739,0.007925378,1.81E-05,9.84E-07,0.000798265
951,8.09E-06,3.24E-07,3.46E-07,0.341217431,3.27E-11,0.004080982
952,0.382543323,0.015300894,0.016374512,1.78E-05,9.84E-07,0.006533542
